    40/299     13.1G    0.2035   0.07648   0.03732    0.3173       178       640    0.3602    0.2501    0.2022    0.0975    0.1841   0.09422   0.03304
    41/299     13.1G    0.2032   0.07644   0.03725    0.3169       178       640     0.347    0.2582    0.2048   0.09855    0.1836   0.09397   0.03279
    42/299     13.1G    0.2028   0.07621   0.03697     0.316       178       640    0.3627    0.2563    0.2079   0.09972    0.1831   0.09372   0.03257
    43/299     13.1G    0.2024    0.0762   0.03684    0.3154       178       640    0.3595    0.2605    0.2103    0.1005    0.1827    0.0935   0.03236
    44/299     13.1G    0.2022   0.07616    0.0368    0.3152       178       640    0.3656    0.2606    0.2129    0.1018    0.1823   0.09331   0.03217
    45/299     13.1G     0.202   0.07613   0.03677    0.3149       177       640    0.3502    0.2702    0.2158     0.103    0.1818   0.09312   0.03198
    46/299     13.1G     0.202   0.07609   0.03671    0.3148       178       640    0.3701    0.2634    0.2172     0.104    0.1814   0.09291   0.03182
    47/299     13.1G    0.2018   0.07595   0.03648    0.3143       178       640    0.3678    0.2658    0.2184    0.1049    0.1811   0.09275   0.03165
    48/299     13.1G    0.2015   0.07591   0.03641    0.3138       177       640     0.367    0.2681    0.2203    0.1058    0.1808    0.0926   0.03149
    49/299     13.1G    0.2007   0.07578   0.03618    0.3126       178       640    0.3832    0.2633    0.2222    0.1066    0.1805   0.09247   0.03134
    50/299     13.1G    0.2009   0.07577    0.0362    0.3128       178       640    0.3788    0.2657    0.2242    0.1072    0.1803   0.09234   0.03119
    51/299     13.1G    0.2011   0.07571   0.03608    0.3129       178       640    0.3769    0.2675    0.2264    0.1081    0.1799    0.0922   0.03104
    52/299     13.1G    0.2007   0.07572     0.036    0.3124       178       640    0.4111    0.2557    0.2276    0.1086    0.1797   0.09209   0.03091
    53/299     13.1G    0.2003   0.07554   0.03586    0.3117       177       640    0.3953    0.2643    0.2295    0.1097    0.1794   0.09196   0.03077
    54/299     13.1G    0.1999   0.07558   0.03581    0.3112       178       640    0.3991    0.2634    0.2307    0.1104    0.1791   0.09183   0.03065
    55/299     13.1G    0.1997   0.07549   0.03575    0.3109       178       640    0.3786    0.2736    0.2318    0.1111    0.1789    0.0917   0.03052
    56/299     13.1G    0.1996   0.07534   0.03561    0.3106       178       640     0.366    0.2839    0.2337     0.112    0.1786   0.09158   0.03039
    57/299     13.1G    0.1996   0.07538   0.03565    0.3107       178       640    0.3754    0.2796    0.2346    0.1126    0.1783   0.09147   0.03028
    58/299     13.1G    0.1993   0.07531   0.03555    0.3102       178       640    0.4112    0.2661    0.2359    0.1133    0.1782   0.09142   0.03019
    59/299     13.1G    0.1988   0.07519   0.03537    0.3094       177       640    0.4037    0.2698    0.2367    0.1139     0.178   0.09135   0.03008
    60/299     13.1G     0.199   0.07522   0.03536    0.3096       178       640    0.3875    0.2757    0.2379    0.1145    0.1776   0.09125   0.02998
    61/299     13.1G    0.1991   0.07513   0.03522    0.3094       178       640    0.3544    0.2959    0.2399    0.1154    0.1774   0.09115   0.02987
    62/299     13.1G    0.1985   0.07507   0.03517    0.3087       178       640    0.3607    0.2951    0.2414    0.1161    0.1771   0.09105   0.02976
    63/299     13.1G    0.1983     0.075    0.0351    0.3084       178       640    0.3676    0.2928    0.2425    0.1168     0.177   0.09097   0.02965
    64/299     13.1G    0.1983   0.07504   0.03506    0.3084       177       640    0.3746    0.2893    0.2432    0.1171    0.1767   0.09089   0.02956
    65/299     13.1G    0.1982   0.07495   0.03491     0.308       178       640    0.3981    0.2798    0.2443    0.1177    0.1765   0.09082   0.02946
    66/299     13.1G     0.198   0.07496   0.03489    0.3078       178       640    0.3937    0.2831    0.2454    0.1182    0.1764   0.09076   0.02937
    67/299     13.1G    0.1979   0.07489    0.0348    0.3076       177       640    0.4052    0.2805    0.2467    0.1189    0.1762   0.09069   0.02928
    68/299     13.1G    0.1978   0.07486   0.03483    0.3075       178       640     0.388    0.2889    0.2481    0.1195    0.1761   0.09063   0.02919
    69/299     13.1G    0.1973   0.07475   0.03469    0.3068       177       640    0.4007     0.284    0.2486    0.1196     0.176   0.09057    0.0291
    70/299     13.1G     0.197   0.07459   0.03459    0.3062       178       640    0.4399    0.2752    0.2496    0.1198    0.1758   0.09052   0.02902
    71/299     13.1G    0.1967   0.07462   0.03445    0.3058       177       640     0.438    0.2766    0.2503    0.1206    0.1757   0.09045   0.02893
    72/299     13.1G    0.1967   0.07457   0.03447    0.3058       177       640    0.4169    0.2844     0.252    0.1212    0.1756   0.09039   0.02884
    73/299     13.1G    0.1967   0.07457   0.03446    0.3057       177       640    0.4037    0.2897    0.2532    0.1218    0.1755   0.09035   0.02877
    74/299     13.1G    0.1964   0.07454   0.03436    0.3053       178       640    0.4053    0.2927    0.2548    0.1225    0.1753   0.09028    0.0287
    75/299     13.1G    0.1964   0.07445   0.03428    0.3051       178       640    0.4066     0.291    0.2553    0.1231    0.1752    0.0902   0.02862
    76/299     13.1G    0.1964   0.07443   0.03422     0.305       178       640    0.4028    0.2929    0.2559    0.1236    0.1751   0.09013   0.02855
    77/299     13.1G    0.1957   0.07426   0.03408     0.304       178       640    0.4307    0.2797    0.2568    0.1242     0.175   0.09007   0.02849
    78/299     13.1G     0.196   0.07436   0.03417    0.3046       177       640    0.4068    0.2902    0.2577    0.1243     0.175   0.09005   0.02845
    79/299     13.1G    0.1959   0.07433   0.03413    0.3044       177       640    0.4218     0.284    0.2587    0.1246    0.1749   0.09002    0.0284
    80/299     13.1G    0.1958    0.0742   0.03401     0.304       178       640    0.4453    0.2808    0.2593    0.1253    0.1748   0.08997   0.02834
    81/299     13.1G    0.1959   0.07429   0.03404    0.3043       178       640    0.4492    0.2801    0.2603    0.1256    0.1746   0.08993   0.02829
    82/299     13.1G    0.1955   0.07421   0.03393    0.3037       177       640    0.4528    0.2797    0.2606    0.1257    0.1746    0.0899   0.02824
    83/299     13.1G    0.1954   0.07412   0.03385    0.3034       177       640    0.4558    0.2793    0.2606    0.1258    0.1745   0.08987   0.02821
    84/299     13.1G    0.1952    0.0741   0.03386    0.3032       178       640     0.449    0.2806    0.2613    0.1262    0.1744   0.08982   0.02817
    85/299     13.1G    0.1948     0.074   0.03369    0.3025       178       640    0.4365     0.284    0.2615    0.1264    0.1743   0.08978   0.02811
    86/299     13.1G    0.1944   0.07396   0.03359     0.302       178       640    0.4268      0.29    0.2622    0.1266    0.1741   0.08972   0.02805
    87/299     13.1G    0.1944   0.07397   0.03364    0.3021       178       640    0.4232     0.291    0.2629    0.1273    0.1741   0.08968   0.02801
    88/299     13.1G    0.1949     0.074   0.03364    0.3025       178       640    0.4111    0.2969    0.2635    0.1273     0.174   0.08964   0.02795
    89/299     13.1G    0.1943   0.07392   0.03357    0.3018       178       640    0.4233    0.2913    0.2632    0.1274    0.1738   0.08959    0.0279
    90/299     13.1G    0.1941   0.07387   0.03347    0.3014       178       640    0.4261     0.291    0.2637    0.1278    0.1735   0.08954   0.02782
    91/299     13.1G    0.1942   0.07382   0.03341    0.3014       176       640    0.4314    0.2898    0.2642    0.1281    0.1733   0.08949   0.02777
    92/299     13.1G    0.1939   0.07378   0.03337     0.301       178       640    0.4359    0.2882    0.2646    0.1284    0.1731   0.08945   0.02771
    93/299     13.1G    0.1935   0.07365   0.03327    0.3005       177       640    0.4343    0.2878    0.2649    0.1286     0.173    0.0894   0.02765
    94/299     13.1G    0.1937   0.07375   0.03327    0.3007       177       640    0.4436     0.285    0.2648    0.1287    0.1729   0.08935   0.02761
    95/299     13.1G    0.1929   0.07357   0.03309    0.2996       177       640    0.4322    0.2903    0.2658     0.129    0.1727    0.0893   0.02754
    96/299     13.1G     0.193    0.0735   0.03301    0.2995       178       640    0.4196    0.2958    0.2663    0.1293    0.1725   0.08929   0.02749
    97/299     13.1G    0.1929   0.07355   0.03304    0.2995       178       640     0.445    0.2879    0.2671    0.1298    0.1723   0.08925   0.02744
    98/299     13.1G    0.1931    0.0735   0.03308    0.2996       177       640    0.4273     0.294    0.2671    0.1301    0.1721   0.08922   0.02738
    99/299     13.1G     0.193   0.07349   0.03295    0.2994       178       640    0.4445    0.2895    0.2687    0.1304     0.172   0.08919   0.02734
   100/299     13.1G    0.1933   0.07346   0.03294    0.2998       178       640    0.4527    0.2872    0.2696     0.131     0.172   0.08915   0.02729
   101/299     13.1G    0.1928   0.07347   0.03287    0.2991       176       640    0.4587    0.2869    0.2704    0.1313    0.1719   0.08912   0.02725
   102/299     13.1G    0.1918   0.07332   0.03275    0.2979       178       640    0.4459    0.2922    0.2707    0.1317    0.1718   0.08909   0.02721
   103/299     13.1G    0.1922    0.0733   0.03271    0.2982       178       640    0.4634    0.2842    0.2709    0.1318    0.1717   0.08905   0.02717
   104/299     13.1G    0.1921    0.0733   0.03265    0.2981       178       640    0.4697    0.2823    0.2715    0.1322    0.1716   0.08898   0.02714
   105/299     13.1G    0.1921   0.07324    0.0327     0.298       178       640    0.4568    0.2868    0.2722    0.1323    0.1714   0.08893   0.02708
   106/299     13.1G    0.1919   0.07324   0.03265    0.2978       178       640    0.4243    0.3014    0.2723    0.1326    0.1714   0.08885   0.02703
   107/299     13.1G    0.1915   0.07307   0.03254    0.2971       178       640      0.42    0.3047     0.273     0.133    0.1713   0.08881     0.027
   108/299     13.1G    0.1915   0.07306   0.03246     0.297       178       640    0.4327    0.2983    0.2733    0.1335    0.1712   0.08875   0.02694
   109/299     13.1G    0.1917   0.07309   0.03247    0.2972       177       640    0.4232     0.303    0.2734    0.1338    0.1712   0.08873   0.02691
   110/299     13.1G    0.1908     0.073   0.03246    0.2962       178       640    0.4391    0.2981    0.2749    0.1342    0.1711   0.08869   0.02689
   111/299     13.1G    0.1909   0.07296   0.03236    0.2962       177       640    0.4263     0.305    0.2753    0.1345    0.1712   0.08867   0.02686
   112/299     13.1G    0.1908   0.07291   0.03225     0.296       178       640    0.4491    0.2954    0.2759    0.1351    0.1711   0.08864   0.02682
   113/299     13.1G    0.1911   0.07291   0.03229    0.2963       178       640    0.4377    0.3003    0.2763    0.1354    0.1709   0.08863    0.0268
   114/299     13.1G    0.1909   0.07289   0.03227    0.2961       178       640    0.4255     0.306     0.276    0.1355    0.1708    0.0886   0.02677
   115/299     13.1G    0.1907   0.07283   0.03212    0.2956       178       640    0.4443    0.2984    0.2769    0.1359    0.1708   0.08857   0.02674
   116/299     13.1G    0.1904   0.07277   0.03204    0.2952       177       640    0.4462    0.2991    0.2778    0.1363    0.1707   0.08852   0.02668
   117/299     13.1G    0.1904   0.07283   0.03211    0.2953       178       640    0.4577    0.2964     0.278    0.1361    0.1705   0.08847   0.02665
   118/299     13.1G    0.1901   0.07272     0.032    0.2948       176       640    0.4383    0.3032    0.2781    0.1363    0.1704   0.08844   0.02662
   119/299     13.1G    0.1894   0.07267   0.03196    0.2941       178       640    0.4573    0.2947    0.2782    0.1363    0.1703    0.0884    0.0266
   120/299     13.1G    0.1895   0.07253   0.03182    0.2939       178       640    0.4353    0.3047    0.2788    0.1366    0.1702   0.08835   0.02656
   121/299     13.1G      0.19   0.07267   0.03189    0.2945       178       640    0.4137    0.3135    0.2792    0.1368      0.17   0.08831   0.02652
   122/299     13.1G    0.1896   0.07255   0.03175    0.2939       178       640    0.4466    0.2988    0.2794    0.1368    0.1698   0.08828   0.02647
   123/299     13.1G    0.1892    0.0725   0.03174    0.2935       177       640    0.4387    0.3024    0.2799    0.1372    0.1697   0.08823   0.02643
   124/299     13.1G     0.189   0.07246   0.03166    0.2931       178       640    0.4447    0.3018    0.2805    0.1374    0.1697   0.08821   0.02641
   125/299     13.1G     0.189   0.07249   0.03171    0.2932       178       640    0.4412    0.3044    0.2807    0.1375    0.1697   0.08819   0.02638
   126/299     13.1G    0.1887   0.07228    0.0315    0.2925       178       640    0.4741    0.2931    0.2816     0.138    0.1695   0.08817   0.02634
   127/299     13.1G    0.1885   0.07232    0.0315    0.2923       178       640     0.456    0.3012    0.2822    0.1382    0.1694   0.08813    0.0263
   128/299     13.1G    0.1884   0.07223   0.03141     0.292       178       640     0.444     0.308    0.2837    0.1385    0.1693   0.08808   0.02625
   129/299     13.1G     0.189    0.0723   0.03149    0.2928       178       640    0.4452     0.309    0.2842    0.1388    0.1693   0.08803   0.02622
   130/299     13.1G    0.1878   0.07208   0.03129    0.2912       178       640    0.4717    0.2985    0.2842    0.1388    0.1692   0.08802   0.02617
   131/299     13.1G     0.188   0.07217   0.03127    0.2914       177       640    0.4595    0.3055    0.2854    0.1396     0.169   0.08796   0.02613
   132/299     13.1G    0.1878   0.07208   0.03124    0.2911       178       640    0.4695     0.302    0.2862    0.1396    0.1689   0.08793    0.0261
   133/299     13.1G    0.1881   0.07203    0.0312    0.2913       178       640     0.453    0.3098    0.2866      0.14    0.1689    0.0879   0.02609
   134/299     13.1G    0.1876    0.0721   0.03121    0.2909       178       640    0.4511      0.31    0.2872    0.1401    0.1688   0.08786   0.02606
   135/299     13.1G    0.1872   0.07194    0.0311    0.2903       178       640    0.4589    0.3044    0.2871    0.1406    0.1687   0.08783   0.02604
   136/299     13.1G    0.1871   0.07191    0.0311    0.2901       177       640    0.4491    0.3097    0.2873    0.1411    0.1685    0.0878   0.02602
   137/299     13.1G    0.1875   0.07193    0.0311    0.2905       178       640    0.4378    0.3143    0.2867    0.1412    0.1685   0.08778   0.02601
   138/299     13.1G    0.1868   0.07187   0.03104    0.2897       178       640    0.4444    0.3108    0.2867    0.1413    0.1683   0.08775   0.02597
   139/299     13.1G    0.1868   0.07185   0.03089    0.2896       178       640    0.4406    0.3127    0.2869    0.1412    0.1682   0.08771   0.02592
   140/299     13.1G    0.1867   0.07185    0.0309    0.2894       178       640    0.4508    0.3084    0.2876    0.1418     0.168   0.08765   0.02588
   141/299     13.1G    0.1864   0.07174   0.03084     0.289       178       640    0.4675    0.3025    0.2879    0.1419    0.1678   0.08762   0.02585
   142/299     13.1G    0.1867   0.07171   0.03088    0.2893       177       640     0.455    0.3093    0.2886    0.1421    0.1678   0.08758   0.02582
   143/299     13.1G    0.1863   0.07163   0.03071    0.2886       178       640    0.4574    0.3087    0.2895    0.1429    0.1677   0.08753   0.02579
   144/299     13.1G    0.1858   0.07155    0.0307     0.288       178       640    0.4831    0.2998    0.2904     0.143    0.1675   0.08749   0.02577
   145/299     13.1G    0.1856   0.07152   0.03065    0.2878       177       640    0.4801     0.302    0.2912    0.1436    0.1674   0.08742   0.02574
   146/299     13.1G    0.1859   0.07152    0.0305    0.2879       177       640    0.4788    0.3026    0.2916    0.1435    0.1673   0.08736   0.02571
   147/299     13.1G    0.1854    0.0715   0.03051    0.2875       178       640    0.4527    0.3122    0.2912    0.1437    0.1671    0.0873   0.02569
   148/299     13.1G     0.185   0.07142   0.03044    0.2868       177       640     0.473    0.3037    0.2916    0.1439     0.167   0.08726    0.0257
   149/299     13.1G    0.1851   0.07137   0.03035    0.2868       177       640    0.4723    0.3045    0.2919    0.1441    0.1669   0.08724   0.02568
   150/299     13.1G     0.185   0.07143   0.03043    0.2868       178       640    0.4805     0.304    0.2923     0.144    0.1669   0.08722   0.02565
