    40/299     16.8G    0.1822   0.07049   0.03199    0.2847       136       640    0.4522    0.3142    0.2883    0.1494    0.1594   0.08525   0.02661
    41/299     16.8G    0.1823   0.07045   0.03189    0.2846       137       640    0.4308    0.3282    0.2911    0.1511    0.1589   0.08505    0.0264
    42/299     16.8G    0.1819   0.07031    0.0317    0.2839       137       640    0.4347      0.33    0.2939    0.1528    0.1584   0.08482    0.0262
    43/299     16.8G    0.1815   0.07029   0.03163    0.2834       136       640    0.4551    0.3239     0.297    0.1546    0.1579   0.08459   0.02599
    44/299     16.8G    0.1812   0.07012   0.03142    0.2827       137       640    0.4613    0.3243    0.2996     0.156    0.1576   0.08441   0.02583
    45/299     16.8G     0.181    0.0701   0.03138    0.2825       137       640     0.475    0.3224    0.3015    0.1571    0.1572   0.08426    0.0257
    46/299     16.8G    0.1806   0.06993   0.03117    0.2817       136       640    0.4421     0.337    0.3026    0.1581    0.1568   0.08408   0.02553
    47/299     16.8G    0.1803   0.06994   0.03111    0.2814       137       640    0.4514    0.3356    0.3051    0.1594    0.1565   0.08396   0.02542
    48/299     16.8G    0.1804   0.06987    0.0311    0.2814       137       640    0.4813    0.3246    0.3074    0.1604    0.1562   0.08382   0.02528
    49/299     16.8G    0.1798   0.06981   0.03101    0.2806       136       640    0.4804     0.327    0.3095    0.1615    0.1558   0.08368   0.02513
    50/299     16.8G    0.1795   0.06966   0.03076      0.28       137       640    0.4609    0.3389    0.3119    0.1628    0.1555   0.08356   0.02503
    51/299     16.8G    0.1799   0.06971   0.03076    0.2804       137       640    0.4796    0.3303     0.313    0.1633    0.1553   0.08346   0.02491
    52/299     16.8G    0.1787   0.06949   0.03054    0.2787       137       640    0.4498    0.3445    0.3136    0.1638     0.155   0.08336   0.02481
    53/299     16.8G    0.1794   0.06953   0.03057    0.2795       135       640    0.4513    0.3458    0.3156    0.1647    0.1548   0.08326   0.02471
    54/299     16.8G    0.1782   0.06937   0.03038     0.278       136       640     0.494    0.3287    0.3172    0.1657    0.1545   0.08315   0.02459
    55/299     16.8G    0.1782   0.06928   0.03028    0.2778       137       640    0.4848     0.334     0.319    0.1668    0.1541   0.08305    0.0245
    56/299     16.8G    0.1782   0.06931   0.03032    0.2778       137       640    0.4677    0.3454    0.3199    0.1671    0.1538   0.08295    0.0244
    57/299     16.8G    0.1777   0.06924   0.03013    0.2771       137       640    0.4577    0.3505    0.3208    0.1681    0.1536   0.08283    0.0243
    58/299     16.8G    0.1776   0.06913   0.03004    0.2767       137       640    0.4673    0.3485    0.3223     0.169    0.1533   0.08271   0.02421
    59/299     16.8G    0.1774   0.06898    0.0299    0.2763       137       640    0.4825    0.3438    0.3236    0.1697    0.1531    0.0826   0.02414
    60/299     16.8G    0.1769   0.06898   0.02982    0.2757       136       640    0.4791    0.3461    0.3246    0.1703     0.153   0.08255   0.02408
    61/299     16.8G     0.177   0.06892   0.02975    0.2757       136       640    0.4809    0.3458    0.3259    0.1709    0.1527   0.08245     0.024
    62/299     16.8G    0.1769    0.0689   0.02981    0.2756       137       640    0.4956    0.3414    0.3269    0.1713    0.1525   0.08237   0.02393
    63/299     16.8G    0.1766   0.06881   0.02964     0.275       137       640    0.4757    0.3493     0.328    0.1716    0.1523   0.08229   0.02386
    64/299     16.8G    0.1761   0.06868   0.02957    0.2743       137       640    0.5027      0.34    0.3298    0.1725    0.1522   0.08223   0.02379
    65/299     16.8G    0.1761   0.06861   0.02943    0.2741       137       640    0.5021    0.3412    0.3309    0.1733     0.152   0.08215   0.02372
    66/299     16.8G    0.1755   0.06854   0.02938    0.2735       136       640    0.4819    0.3497     0.332    0.1737    0.1517   0.08208   0.02365
    67/299     16.8G    0.1762    0.0686   0.02934    0.2741       137       640      0.49     0.348    0.3325    0.1742    0.1516   0.08204   0.02358
    68/299     16.8G     0.176   0.06857   0.02933    0.2739       137       640    0.4649    0.3638    0.3337     0.175    0.1515   0.08195   0.02351
    69/299     16.8G     0.175   0.06848   0.02918    0.2727       137       640    0.4674    0.3633    0.3343    0.1759    0.1515    0.0819   0.02343
    70/299     16.8G    0.1751   0.06842   0.02913    0.2727       137       640    0.4822    0.3584    0.3359    0.1765    0.1513   0.08181   0.02333
    71/299     16.8G    0.1748   0.06835   0.02903    0.2722       137       640     0.478    0.3605    0.3363    0.1771    0.1512   0.08176   0.02327
    72/299     16.8G    0.1742   0.06817    0.0289    0.2712       136       640     0.477    0.3599    0.3373     0.178    0.1511   0.08169   0.02319
    73/299     16.8G    0.1736   0.06808   0.02882    0.2705       137       640    0.4918     0.356    0.3376    0.1781    0.1509   0.08161   0.02311
    74/299     16.8G    0.1738   0.06818   0.02888    0.2708       137       640    0.4835    0.3595    0.3382    0.1784    0.1507   0.08153   0.02306
    75/299     16.8G    0.1741   0.06812   0.02882     0.271       136       640    0.4965    0.3556    0.3394    0.1788    0.1505   0.08146   0.02301
    76/299     16.8G     0.174   0.06804   0.02875    0.2708       137       640    0.4888    0.3599    0.3409    0.1789    0.1503    0.0814   0.02296
    77/299     16.8G     0.173   0.06794   0.02861    0.2695       136       640    0.4759    0.3676    0.3404    0.1788    0.1503   0.08132   0.02292
    78/299     16.8G    0.1733   0.06795   0.02856    0.2698       137       640    0.4877    0.3633    0.3421    0.1796    0.1501   0.08125   0.02288
    79/299     16.8G    0.1731   0.06782   0.02854    0.2695       135       640    0.4786    0.3702    0.3434    0.1801    0.1501   0.08119   0.02285
    80/299     16.8G    0.1724   0.06773   0.02834    0.2685       136       640    0.4943    0.3628    0.3437    0.1811    0.1498   0.08111   0.02278
    81/299     16.8G    0.1729   0.06771    0.0283    0.2689       136       640    0.4943    0.3638    0.3442    0.1813    0.1496   0.08105   0.02273
    82/299     16.8G    0.1724   0.06768   0.02829    0.2684       136       640    0.5045    0.3607    0.3449    0.1818    0.1494   0.08099   0.02268
    83/299     16.8G    0.1725   0.06774   0.02833    0.2686       136       640    0.4982    0.3635    0.3453    0.1819    0.1493   0.08097   0.02264
    84/299     16.8G    0.1721   0.06761   0.02828     0.268       137       640     0.491    0.3679     0.346    0.1825    0.1493    0.0809   0.02259
    85/299     16.8G    0.1719   0.06755   0.02815    0.2676       136       640    0.4894    0.3713    0.3478    0.1833    0.1493   0.08088   0.02255
    86/299     16.8G    0.1718   0.06746   0.02806    0.2674       136       640    0.4907    0.3722    0.3494    0.1839    0.1491   0.08084   0.02249
    87/299     16.8G    0.1717    0.0675   0.02802    0.2672       137       640    0.4972    0.3686    0.3493    0.1838    0.1489    0.0808   0.02246
    88/299     16.8G    0.1715   0.06734   0.02792    0.2668       137       640    0.4871    0.3732    0.3492    0.1846    0.1486   0.08074   0.02242
    89/299     16.8G    0.1709   0.06722   0.02783    0.2659       137       640    0.4931    0.3716    0.3497     0.185    0.1484   0.08071   0.02237
